iter	CatBoostEvalMetricDeviation	RMSE
0	6.41126716	164483.3486
1	6.185011785	157424.288
2	5.993436087	151235.7686
3	5.830736115	145856.011
4	5.679416776	141254.9829
5	5.56402287	137319.9897
6	5.470097172	133922.3373
7	5.377543647	130990.168
8	5.277216682	128442.7445
9	5.191852939	126110.8275
10	5.107976416	124193.1953
11	5.028829901	122528.0762
12	4.960942868	121168.7072
13	4.898782289	119939.944
14	4.833614001	118825.7094
15	4.781408985	117847.2318
16	4.74324399	117039.4932
17	4.707080392	116293.8253
18	4.669950968	115557.0181
19	4.640333733	114945.1679
20	4.59611443	114389.6402
21	4.56673562	113816.1747
22	4.54502064	113309.8668
23	4.525446498	112734.3855
24	4.488611638	112286.1387
25	4.472169743	111925.6026
26	4.458149574	111577.0096
27	4.433033136	111239.6593
28	4.419224252	110810.411
29	4.40758922	110502.7424
30	4.388286882	110150.5584
31	4.375920361	109866.2783
32	4.370971985	109570.5971
33	4.357261583	109386.4138
34	4.348001741	109184.5956
35	4.33128197	108968.3917
36	4.324663505	108682.3103
37	4.321474937	108390.9475
38	4.31613682	108284.0751
39	4.304257937	108061.7458
40	4.297687347	107862.1042
41	4.286462193	107746.0686
42	4.28484579	107519.5666
43	4.280739764	107330.6134
44	4.277814353	107155.0993
45	4.271710664	107004.7237
46	4.268393099	106878.4501
47	4.266756804	106786.3498
48	4.262203385	106472.413
49	4.25875493	106250.8054
50	4.256744234	106114.5436
51	4.253469143	105894.9504
52	4.243895706	105696.7774
53	4.243806068	105584.1908
54	4.240610489	105484.19
55	4.236280336	105344.1352
56	4.235747834	105159.4265
57	4.234876551	105058.2273
58	4.232194596	104879.5329
59	4.230855536	104742.355
60	4.227057508	104608.054
61	4.224139414	104539.6283
62	4.221749827	104328.7305
63	4.220409315	104238.3234
64	4.213784146	104128.7925
65	4.210662161	103999.4787
66	4.209880586	103894.5724
67	4.205971309	103853.3081
68	4.205156952	103791.5423
69	4.202182841	103675.3326
70	4.199435634	103581.3819
71	4.19838027	103477.9082
72	4.197289915	103353.1309
73	4.192215888	103277.1295
74	4.19074846	103178.5552
75	4.189919443	103096.5491
76	4.188609778	102948.68
77	4.186571837	102828.8275
78	4.184531967	102678.6468
79	4.182470703	102599.924
80	4.174178566	102511.6573
81	4.172555146	102408.4832
82	4.169336449	102328.8815
83	4.167505357	102267.2592
84	4.165958962	102133.1584
85	4.165329494	102016.1401
86	4.16378135	101941.0188
87	4.162612446	101882.5408
88	4.162435916	101769.3231
89	4.162049992	101679.5523
90	4.161928608	101631.3634
91	4.1612818	101575.1361
92	4.160729401	101455.9133
93	4.160471291	101354.1981
94	4.157536636	101330.0831
95	4.157402318	101242.7701
96	4.157013503	101172.0999
97	4.156266802	101094.8937
98	4.154229688	101005.2312
99	4.153378524	100898.9485
100	4.150624125	100727.8953
101	4.149705939	100650.4212
102	4.149395083	100611.8784
103	4.147807618	100468.3132
104	4.14608764	100361.4792
105	4.145392684	100284.8951
106	4.143840112	100213.4737
107	4.143866461	100174.3867
108	4.141447536	100028.7424
109	4.140189167	99872.70578
110	4.13320336	99804.35016
111	4.13282836	99756.46493
112	4.131846975	99689.26248
113	4.130760499	99602.32893
114	4.129773538	99537.46373
115	4.128943559	99485.19611
116	4.128729954	99445.20042
117	4.126688189	99370.40533
118	4.126024311	99276.37808
119	4.125184824	99189.16554
120	4.122790482	99070.89985
121	4.122563016	99019.10279
122	4.12279284	98992.44998
123	4.122337363	98907.84034
124	4.122413344	98854.4514
125	4.122256508	98810.52108
126	4.117124239	98766.68863
127	4.115863737	98661.06958
128	4.113343134	98633.14485
129	4.112160419	98587.82798
130	4.111794746	98524.99652
131	4.11068859	98437.991
132	4.110083823	98373.13895
133	4.106581315	98318.13401
134	4.10270365	98290.29837
135	4.101340976	98264.6308
136	4.100256215	98183.53149
137	4.099607427	98106.55355
138	4.099061159	98053.30009
139	4.097960505	97957.85153
140	4.098241588	97934.9596
141	4.097280543	97869.3102
142	4.095946863	97760.87508
143	4.096128583	97741.94124
144	4.09548155	97642.63253
145	4.095174896	97568.74723
146	4.093958306	97485.37283
147	4.093843763	97395.60603
148	4.092836858	97295.00033
149	4.091642261	97213.16158
150	4.081061911	97164.14603
151	4.079362953	97049.33981
152	4.077957877	96933.64731
153	4.077827646	96881.41039
154	4.077774304	96864.23622
155	4.077063594	96820.48155
156	4.076117231	96742.53067
157	4.075128963	96675.85353
158	4.074537814	96619.33494
159	4.074441224	96548.81062
160	4.073969712	96526.65855
161	4.073117745	96466.1195
162	4.071942696	96392.53873
163	4.071566541	96370.05473
164	4.070930931	96331.37318
165	4.070571108	96301.84009
166	4.070130976	96232.54551
167	4.070109283	96182.87804
168	4.070198958	96135.91903
169	4.069853181	96074.35263
170	4.063433033	96018.70725
171	4.062121902	95987.81943
172	4.061157012	95925.63651
173	4.060964	95851.36232
174	4.057908905	95813.30988
175	4.057588549	95795.98158
176	4.057164337	95725.27767
177	4.056387163	95624.34164
178	4.053982557	95583.92445
179	4.054005685	95581.67766
180	4.053406546	95521.09514
181	4.05321238	95484.05038
182	4.052692735	95406.18673
183	4.052889594	95363.83675
184	4.052668465	95312.37171
185	4.052458293	95262.74734
186	4.052532439	95208.09822
187	4.051729814	95147.86287
188	4.051150856	95115.71151
189	4.049805539	95063.52158
190	4.049605527	94992.77592
191	4.048685184	94927.49646
192	4.048292907	94875.46358
193	4.048121579	94823.6008
194	4.048165693	94807.31282
195	4.047943422	94741.01906
196	4.04581595	94704.97086
197	4.04484529	94636.06879
198	4.043748566	94554.51984
199	4.043452266	94538.52644
200	4.040182884	94475.91249
201	4.038255582	94399.43147
202	4.037537798	94320.00673
203	4.036201719	94221.61074
204	4.035594853	94145.46678
205	4.034499847	94071.24669
206	4.033346233	93982.02798
207	4.032906407	93930.09669
208	4.031216318	93858.98617
209	4.030884775	93811.18315
210	4.02474482	93758.90513
211	4.022940319	93732.97464
212	4.022380594	93699.46577
213	4.022168905	93648.99636
214	4.02147437	93574.89481
215	4.020379164	93516.42543
216	4.020844462	93480.52772
217	4.020854373	93478.60948
218	4.020229724	93408.0873
219	4.016414842	93367.53851
220	4.015186786	93338.45342
