iter	Passed	Remaining
0	1054	1052966
1	2116	1056359
2	3092	1027794
3	4020	1000994
4	5039	1002805
5	6157	1020087
6	7288	1033889
7	8214	1018596
8	9258	1019442
9	10272	1017006
10	11228	1009567
11	12176	1002502
12	13142	997797
13	14105	993403
14	15142	994348
15	16095	989861
16	17055	986234
17	18096	987240
18	19268	994851
19	20256	992589
20	21394	997378
21	22495	1000013
22	23542	1000046
23	24580	999623
24	25512	994995
25	26463	991357
26	27416	988013
27	28475	988507
28	29555	989584
29	30523	986925
30	31565	986666
31	32855	993879
32	34150	1000702
33	35437	1006844
34	36436	1004601
35	37404	1001616
36	38409	999696
37	39495	999857
38	40557	999381
39	41593	998239
40	42558	995454
41	43565	993698
42	44580	992166
43	45589	990542
44	46628	989565
45	47847	992307
46	49196	997537
47	50324	998104
48	51380	997207
49	52346	994574
50	53508	995684
51	54511	993791
52	55502	991720
53	56576	991144
54	57622	990060
55	58596	987763
56	59574	985586
57	60552	983455
58	61657	983378
59	62717	982572
60	64166	987744
61	65323	988287
62	66595	990469
63	67684	989885
64	68777	989336
65	69980	990325
66	70973	988328
67	71912	985624
68	72885	983430
69	73915	982025
70	75627	989550
71	76649	987925
72	78025	990814
73	79148	990423
74	80791	996427
75	82106	998246
76	83261	998059
77	84810	1002509
78	85934	1001845
79	87200	1002807
80	88356	1002464
81	89330	1000069
82	90296	997612
83	91351	996161
84	92437	995059
85	93961	998613
86	95672	1004011
87	96912	1004367
88	97913	1002242
89	98866	999645
90	100261	1001516
91	101646	1003209
92	102629	1000909
93	103639	998905
94	104664	997063
95	105673	995088
96	106607	992438
97	107541	989820
98	108479	987276
99	109480	985323
100	110495	983519
101	111424	980968
102	112344	978377
103	113287	976014
104	114239	973757
105	115191	971521
106	116219	969946
107	117208	968053
108	118179	966032
109	119162	964132
110	120112	961980
111	121046	959725
112	122067	958174
113	123297	958258
114	124503	958132
115	125788	958595
116	126968	958235
117	127994	956708
118	129030	955259
119	130133	954312
120	131292	953772
121	132483	953446
122	133459	951576
123	134404	949502
124	135375	947628
125	136333	945680
126	137315	943911
127	138332	942387
128	139342	940831
129	140339	939195
130	141306	937370
131	142301	935742
132	143236	933727
133	144255	932276
134	145204	930385
135	146216	928903
136	147196	927230
137	148131	925284
138	149100	923562
139	150092	921998
140	151226	921299
141	152201	919640
142	153148	917819
143	154141	916283
144	155154	914878
145	156099	913077
146	157043	911280
147	158022	909694
148	158977	907982
149	159930	906272
150	160860	904442
151	161814	902757
152	162809	901306
153	163751	899568
154	164703	897899
155	165629	896100
156	166577	894427
157	167515	892710
158	168447	890970
159	169377	889233
160	170312	887530
161	171289	886053
162	172238	884440
163	173197	882883
164	174136	881234
165	175089	879666
166	176021	877999
167	177016	876651
168	177968	875100
169	178943	873662
170	179886	872083
171	180877	870736
172	181932	869699
173	183085	869131
174	184055	867688
175	184978	866035
176	185940	864570
177	186930	863238
178	187860	861640
179	188795	860069
180	189729	858500
181	190678	857003
182	191655	855641
183	192600	854142
184	193566	852740
185	194598	851631
186	195561	850220
187	196498	848706
188	197474	847363
189	198432	845949
190	199774	846166
191	200769	844905
192	201716	843447
193	202647	841927
194	203573	840392
195	204506	838893
196	205619	838134
197	206565	836694
198	207573	835510
199	208606	834426
200	209598	833178
201	210526	831682
202	211453	830188
203	212384	828714
204	213351	827388
205	214282	825922
206	215234	824546
207	216172	823118
208	217109	821690
209	218039	820243
210	219002	818925
211	219989	817698
212	220966	816433
213	221923	815102
214	222943	814004
215	223930	812785
216	224911	811546
217	225859	810194
218	226821	808893
219	227809	807689
220	228740	806285
221	229682	804922
222	230674	803741
223	231744	802828
224	232793	801842
225	233799	800711
226	234763	799435
227	235685	798021
228	236630	796690
229	237558	795304
230	238523	794045
231	239466	792717
232	240413	791405
233	241337	790020
234	242304	788777
235	243222	787381
236	244151	786023
237	245096	784719
238	246086	783563
239	247052	782332
240	247978	780976
241	248959	779797
242	249912	778535
243	250838	777188
244	251761	775837
245	252729	774625
246	253656	773293
247	254605	772029
248	255959	771989
249	256924	770772
250	257869	769499
251	258793	768164
252	259731	766876
253	260655	765547
254	261601	764286
255	262691	763448
256	263704	762383
257	264659	761153
258	265591	759859
259	266580	758730
260	267611	757719
261	268607	756610
262	269644	755620
263	270634	754496
264	271642	753424
265	272850	752902
266	273873	751871
267	274835	750669
268	275757	749362
269	276682	748067
270	277608	746776
271	278548	745527
272	279579	744520
273	280535	743316
274	281486	742101
275	282439	740892
276	283394	739691
277	284327	738433
278	285304	737291
279	286249	736071
280	287185	734826
281	288142	733639
282	289131	732535
283	290071	731306
